	agitation rate	clockTime	CoSO4.7H2O	CuSO4.5H2O	DIP	EMS	FeSO4.7H2O	gamma	H2O2	illumination	KCl	MgSO4.7H2O	MnSO4.H2O	Na3C6H5O7	NaCl	NiSO4.H2O	Optical density (600nm)	Oxoid peptone	oxygen	pH	pump rate	sparge gas	sparge rate	temperature	time	Uracil	uv	vessel type	vessel volume	volume ratio	ZnSO4.7H2O
Cu_040_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.608	1	41.8	6.96	11	0	3.8	37	40	0.000446	0	fermentor	1.5	0.75	0
Cu_040_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.608	1	41.8	6.96	11	0	3.8	37	40	0.000446	0	fermentor	1.5	0.75	0
Cu_080_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.646	1	42	6.97	11	0	3.8	37	80	0.000446	0	fermentor	1.5	0.75	0
Cu_080_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.646	1	42	6.97	12	0	3.8	37	80	0.000446	0	fermentor	1.5	0.75	0
Cu_160_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.545	1	43.6	6.95	11	0	3.8	37	160	0.000446	0	fermentor	1.5	0.75	0
Cu_160_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.545	1	43.6	6.95	10	0	3.8	37	160	0.000446	0	fermentor	1.5	0.75	0
Cu_320_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.61	1	43.8	6.94	10	0	3.8	37	320	0.000446	0	fermentor	1.5	0.75	0
Cu_NRC1_set1_-030min_vs_NRC-1h1.sig	190	13:55	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.61	0	0	6.8	0	0	0	37	-30	0.000446	0	flask	1	0.5	0
Cu_NRC1_set1_000min_vs_NRC-1h1.sig	190	14:30	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.61	0	0	6.8	0	0	0	37	0	0.000446	0	flask	1	0.5	0
Cu_NRC1_set1_005min_vs_NRC-1h1.sig	190	14:36	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.61	0	0	6.8	0	0	0	37	5	0.000446	0	flask	1	0.5	0
Cu_NRC1_set1_010min_vs_NRC-1h1.sig	190	14:42	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.61	0	0	6.8	0	0	0	37	10	0.000446	0	flask	1	0.5	0
Cu_NRC1_set1_020min_vs_NRC-1h1.sig	190	14:52	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.61	0	0	6.8	0	0	0	37	20	0.000446	0	flask	1	0.5	0
Cu_NRC1_set1_040min_vs_NRC-1h1.sig	190	15:12	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.61	0	0	6.8	0	0	0	37	40	0.000446	0	flask	1	0.5	0
Cu_NRC1_set1_080min_vs_NRC-1h1.sig	190	15:52	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.61	0	0	6.8	0	0	0	37	80	0.000446	0	flask	1	0.5	0
Cu_NRC1_set1_160min_vs_NRC-1h1.sig	190	17:12	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.595	0	0	6.8	0	0	0	37	160	0.000446	0	flask	1	0.5	0
Cu_NRC1_set2_-030min_vs_NRC-1h1.sig	190	13:55	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.595	0	0	6.8	0	0	0	37	-30	0.000446	0	flask	1	0.5	0
Cu_NRC1_set2_000min_vs_NRC-1h1.sig	190	14:30	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.595	0	0	6.8	0	0	0	37	0	0.000446	0	flask	1	0.5	0
Cu_NRC1_set2_005min_vs_NRC-1h1.sig	190	14:36	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.595	0	0	6.8	0	0	0	37	5	0.000446	0	flask	1	0.5	0
Cu_NRC1_set2_010min_vs_NRC-1h1.sig	190	14:42	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.595	0	0	6.8	0	0	0	37	10	0.000446	0	flask	1	0.5	0
Cu_NRC1_set2_020min_vs_NRC-1h1.sig	190	14:52	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.595	0	0	6.8	0	0	0	37	20	0.000446	0	flask	1	0.5	0
Cu_NRC1_set2_040min_vs_NRC-1h1.sig	190	15:12	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.595	0	0	6.8	0	0	0	37	40	0.000446	0	flask	1	0.5	0
Cu_NRC1_set2_080min_vs_NRC-1h1.sig	190	15:52	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.595	0	0	6.8	0	0	0	37	80	0.000446	0	flask	1	0.5	0
Cu_NRC1_set2_160min_vs_NRC-1h1.sig	190	17:12	0	1.0*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.5664	0	0	6.8	0	0	0	37	160	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set1_-030min_vs_NRC-1h1.sig	190	13:55	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.5664	0	0	6.8	0	0	0	37	-30	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set1_000min_vs_NRC-1h1.sig	190	14:30	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.5664	0	0	6.8	0	0	0	37	0	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set1_005min_vs_NRC-1h1.sig	190	14:36	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.5664	0	0	6.8	0	0	0	37	5	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set1_010min_vs_NRC-1h1.sig	190	14:42	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.5664	0	0	6.8	0	0	0	37	10	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set1_020min_vs_NRC-1h1.sig	190	14:52	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.5664	0	0	6.8	0	0	0	37	20	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set1_040min_vs_NRC-1h1.sig	190	15:12	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.5664	0	0	6.8	0	0	0	37	40	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set1_080min_vs_NRC-1h1.sig	190	15:52	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.5664	0	0	6.8	0	0	0	37	80	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set1_160min_vs_NRC-1h1.sig	190	17:12	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.4597	0	0	6.8	0	0	0	37	160	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set2_-030min_vs_NRC-1h1.sig	190	13:55	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.4597	0	0	6.8	0	0	0	37	-30	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set2_000min_vs_NRC-1h1.sig	190	14:30	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.4597	0	0	6.8	0	0	0	37	0	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set2_005min_vs_NRC-1h1.sig	190	14:36	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.4597	0	0	6.8	0	0	0	37	5	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set2_010min_vs_NRC-1h1.sig	190	14:42	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.4597	0	0	6.8	0	0	0	37	10	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set2_020min_vs_NRC-1h1.sig	190	14:52	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.4597	0	0	6.8	0	0	0	37	20	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set2_040min_vs_NRC-1h1.sig	190	15:12	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.4597	0	0	6.8	0	0	0	37	40	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set2_080min_vs_NRC-1h1.sig	190	15:52	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.4597	0	0	6.8	0	0	0	37	80	0.000446	0	flask	1	0.5	0
Cu_ura3_KO_set2_160min_vs_NRC-1h1.sig	190	17:12	0	0.85*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	160	0.000446	0	flask	1	0.5	0
Cu_vng1179_KO_set1_-030min_vs_NRC-1h1.sig	190	13:55	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	-30	0.000446	0	flask	1	0.5	0
Cu_vng1179_KO_set1_000min_vs_NRC-1h1.sig	190	14:30	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	0	0.000446	0	flask	1	0.5	0
Cu_vng1179_KO_set1_005min_vs_NRC-1h1.sig	190	14:36	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	5	0.000446	0	flask	1	0.5	0
Cu_vng1179_KO_set1_010min_vs_NRC-1h1.sig	190	14:42	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	10	0.000446	0	flask	1	0.5	0
Cu_vng1179_KO_set1_020min_vs_NRC-1h1.sig	190	14:52	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	20	0.000446	0	flask	1	0.5	0
Cu_vng1179_KO_set1_040min_vs_NRC-1h1.sig	190	15:12	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	40	0.000446	0	flask	1	0.5	0
Cu_vng1179_KO_set1_080min_vs_NRC-1h1.sig	190	15:52	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	80	0.000446	0	flask	1	0.5	0
Cu_vng1179_KO_set1_160min_vs_NRC-1h1.sig	190	17:12	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	160	0.000446	0	flask	1	0.5	0
Cu_vng1179_set2_-030min_vs_NRC-1h1.sig	190	13:55	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	-30	0.000446	0	flask	1	0.5	0
Cu_vng1179_set2_000min_vs_NRC-1h1.sig	190	14:30	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	0	0.000446	0	flask	1	0.5	0
Cu_vng1179_set2_005min_vs_NRC-1h1.sig	190	14:36	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	5	0.000446	0	flask	1	0.5	0
Cu_vng1179_set2_010min_vs_NRC-1h1.sig	190	14:42	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	10	0.000446	0	flask	1	0.5	0
Cu_vng1179_set2_020min_vs_NRC-1h1.sig	190	14:52	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	20	0.000446	0	flask	1	0.5	0
Cu_vng1179_set2_040min_vs_NRC-1h1.sig	190	15:12	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	40	0.000446	0	flask	1	0.5	0
Cu_vng1179_set2_080min_vs_NRC-1h1.sig	190	15:52	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.3767	0	0	6.8	0	0	0	37	80	0.000446	0	flask	1	0.5	0
Cu_vng1179_set2_160min_vs_NRC-1h1.sig	190	17:12	0	0.4*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.4009	0	0	6.8	0	0	0	37	160	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set1_-030min_vs_NRC-1h1.sig	190	13:55	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	-30	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set1_000min_vs_NRC-1h1.sig	190	14:30	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	0	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set1_005min_vs_NRC-1h1.sig	190	14:36	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	5	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set1_010min_vs_NRC-1h1.sig	190	14:42	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	10	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set1_020min_vs_NRC-1h1.sig	190	14:52	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	20	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set1_040min_vs_NRC-1h1.sig	190	15:12	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	40	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set1_080min_vs_NRC-1h1.sig	190	15:52	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	80	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set1_160min_vs_NRC-1h1.sig	190	17:12	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	160	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set2_-030min_vs_NRC-1h1.sig	190	13:55	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	-30	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set2_000min_vs_NRC-1h1.sig	190	14:30	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	0	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set2_005min_vs_NRC-1h1.sig	190	14:36	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	5	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set2_010min_vs_NRC-1h1.sig	190	14:42	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	10	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set2_020min_vs_NRC-1h1.sig	190	14:52	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	20	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set2_040min_vs_NRC-1h1.sig	190	15:12	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	40	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set2_080min_vs_NRC-1h1.sig	190	15:52	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	80	0.000446	0	flask	1	0.5	0
Cu_vng149_KO_set2_160min_vs_NRC-1h1.sig	190	17:12	0	0.7*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	160	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set1_-030min_vs_NRC-1h1.sig	190	13:55	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	-30	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set1_000min_vs_NRC-1h1.sig	190	14:30	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	0	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set1_005min_vs_NRC-1h1.sig	190	14:36	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	5	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set1_010min_vs_NRC-1h1.sig	190	14:42	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	10	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set1_020min_vs_NRC-1h1.sig	190	14:52	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	20	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set1_040min_vs_NRC-1h1.sig	190	15:12	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	40	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set1_080min_vs_NRC-1h1.sig	190	15:52	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	80	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set1_160min_vs_NRC-1h1.sig	190	17:12	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	160	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set2_-030min_vs_NRC-1h1.sig	190	13:55	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	-30	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set2_000min_vs_NRC-1h1.sig	190	14:30	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	0	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set2_005min_vs_NRC-1h1.sig	190	14:36	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	5	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set2_010min_vs_NRC-1h1.sig	190	14:42	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	10	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set2_020min_vs_NRC-1h1.sig	190	14:52	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	20	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set2_040min_vs_NRC-1h1.sig	190	15:12	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	40	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set2_080min_vs_NRC-1h1.sig	190	15:52	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	80	0.000446	0	flask	1	0.5	0
Cu_vng700_KO_set2_160min_vs_NRC-1h1.sig	190	17:12	0	0.04*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0	0	0	6.8	0	0	0	37	160	0.000446	0	flask	1	0.5	0
ZnSO4_set2_-005min_vs_NRC-1h1.sig	300	10:15	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.665	0	0	7	10	air	3.8	37	-5	0.000446	0	fermentor	2	0.75	0
ZnSO4_set2_000min_vs_NRC-1h1.sig	300	10:20	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.6654	0	0	7	10	air	3.8	37	0	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_005min_vs_NRC-1h1.sig	300	10:25	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.672	0	0	7	10	air	3.8	37	5	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_010min_vs_NRC-1h1.sig	300	10:30	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.696	0	0	7	10	air	3.8	37	10	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_015min_vs_NRC-1h1.sig	300	10:35	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.643	0	0	7	10	air	3.8	37	15	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_020min_vs_NRC-1h1.sig	300	10:40	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.663	0	0	7	10	air	3.8	37	20	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_025min_vs_NRC-1h1.sig	300	10:45	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.71	0	0	7	10	air	3.8	37	25	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_030min_vs_NRC-1h1.sig	300	10:50	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.67	0	0	7	10	air	3.8	37	30	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_040min_vs_NRC-1h1.sig	300	11:00	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.649	0	0	7	10	air	3.8	37	40	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_060min_vs_NRC-1h1.sig	300	11:20	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.629	0	0	7	7	air	3.8	37	60	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_080min_vs_NRC-1h1.sig	300	11:40	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.632	0	0	7	5	air	3.8	37	80	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_120min_vs_NRC-1h1.sig	300	12:20	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.609	0	0	7	3	air	3.8	37	120	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_160min_vs_NRC-1h1.sig	300	13:00	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.632	0	0	7	3	air	3.8	37	160	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_set2_320min_vs_NRC-1h1.sig	300	15:40	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.692	0	0	7	3	air	3.8	37	320	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_ts_set-1_-005min_vs_NRC-1h1.sig	300	10:14	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.6545	0	32	7	10	air	4.5	37	-5	0.000446	0	fermentor	2	0.75	0
ZnSO4_ts_set-1_000min_vs_NRC-1h1.sig	300	10:19	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.646	0	32.1	7	10	air	4.5	37	0	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_ts_set-1_005min_vs_NRC-1h1.sig	300	10:24	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.641	0	32.6	7	10	air	4.5	37	5	0.000446	0	fermentor	2	0.75	1.5*10^-5
ZnSO4_ts_set-1_010min_vs_NRC-1h1.sig	300	10:29	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.6274	0	33	7	10	air	4.5	37	10	0.000446	0	fermentor	2	0.75	1.5*10^-5
