	batch	clockTime	flow rate	gamma	H2O2	illumination	overexpression	knockout	media-to-flask-volume-ratio	mevinolin	NaCl	Optical density (600nm)	Optical density (600nm) for NRC1d	Optical density (600nm) for NRC1e	Optical density (600nm) for NRC1g	Optical density for NRC-1e	Optical density for NRC-1h1	overexpressed gene	Oxoid peptone	oxygen	shaking	paraquat	pH	tag	temperature	time
o2_set1_0432m_L_024_vs_NRC-1c	0	16:26	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	432
o2_set1_0477m_L_017_vs_NRC-1c	0	17:11	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	477
o2_set1_0567m_L_011_vs_NRC-1c	0	18:41	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	567
o2_set1_0747m_L_008_vs_NRC-1c	0	21:41	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	747
o2_set1_0750m_L2H_540_vs_NRC-1c	0	21:44	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	750
o2_set1_0755m_L2H_825_vs_NRC-1c	0	21:49	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	755
o2_set1_0760m_L2H_847_vs_NRC-1c	0	21:54	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	760
o2_set1_0770m_L2H_852_vs_NRC-1c	0	22:04	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	770
o2_set1_0780m_L2H_847_vs_NRC-1c	0	22:14	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	780
o2_set2_H_L_000_vs_NRC-1d.sig	0	12:46	0	0	0	Light	0	0	0	0	4.28	0.6	0	0	0	0	0	0	1	98.5	0	0	7.15	0	37	0
o2_set2_H_L_005_vs_NRC-1d.sig	0	12:51	0	0	0	Light	0	0	0	0	4.28	0.6	0	0	0	0	0	0	1	40.7	0	0	7.15	0	37	5
o2_set2_H_L_010_vs_NRC-1d.sig	0	12:56	0	0	0	Light	0	0	0	0	4.28	0.616	0	0	0	0	0	0	1	4.3	0	0	7.16	0	37	10
o2_set2_H_L_020_vs_NRC-1d.sig	0	1:06	0	0	0	Light	0	0	0	0	4.28	0.61	0	0	0	0	0	0	1	2.9	0	0	7.17	0	37	20
o2_set2_L_000_vs_NRC-1d.sig	0	1:11	0	0	0	Light	0	0	0	0	4.28	0.617	0	0	0	0	0	0	1	1.6	0	0	7.17	0	37	25
o2_set2_L_005_vs_NRC-1d.sig	0	1:16	0	0	0	Light	0	0	0	0	4.28	0.6	0	0	0	0	0	0	1	1.4	0	0	7.17	0	37	30
o2_set2_L_010_vs_NRC-1d.sig	0	1:21	0	0	0	Light	0	0	0	0	4.28	0.612	0	0	0	0	0	0	1	1.1	0	0	7.17	0	37	35
o2_set2_L_020_vs_NRC-1d.sig	0	1:31	0	0	0	Light	0	0	0	0	4.28	0.587	0	0	0	0	0	0	1	0.8	0	0	7.17	0	37	45
o2_set2_L_030_vs_NRC-1d.sig	0	1:41	0	0	0	Light	0	0	0	0	4.28	0.574	0	0	0	0	0	0	1	0.7	0	0	7.17	0	37	55
o2_set2_L_045_vs_NRC-1d.sig	0	1:56	0	0	0	Light	0	0	0	0	4.28	0.558	0	0	0	0	0	0	1	0.4	0	0	7.16	0	37	70
o2_set2_L_090_vs_NRC-1d.sig	0	2:41	0	0	0	Light	0	0	0	0	4.28	0.594	0	0	0	0	0	0	1	0.1	0	0	7.15	0	37	115
o2_set2_L_135_vs_NRC-1d.sig	0	3:26	0	0	0	Light	0	0	0	0	4.28	0.573	0	0	0	0	0	0	1	0	0	0	7.14	0	37	160
o2_set2_L_180_vs_NRC-1d.sig	0	4:11	0	0	0	Light	0	0	0	0	4.28	0.555	0	0	0	0	0	0	1	0	0	0	7.14	0	37	205
o2_set2_L_270_vs_NRC-1d.sig	0	5:41	0	0	0	Light	0	0	0	0	4.28	0.546	0	0	0	0	0	0	1	0	0	0	7.15	0	37	295
o2_set2_L_360_vs_NRC-1d.sig	0	7:11	0	0	0	Light	0	0	0	0	4.28	0.572	0	0	0	0	0	0	1	0	0	0	7.11	0	37	385
o2_set3_-0005_min_LO2_vs_NRC1f.sig	0	0	0	0	0	Light	0	0	0	0	4.28	0.377	0	0	0	0	0	0	1	0	0	0	7.07	0	37	-5
o2_set3_0000_min_L2HO2_vs_NRC1f.sig	0	0	0.45	0	0	Light	0	0	0	0	4.28	0.357	0	0	0	0	0	0	1	0	0	0	7.07	0	37	0
o2_set3_0005_min_HO2_vs_NRC1f.sig	0	0	0.45	0	0	Light	0	0	0	0	4.28	0.359	0	0	0	0	0	0	1	91.1	0	0	7.17	0	37	5
o2_set3_0010_min_HO2_vs_NRC1f.sig	0	0	0.45	0	0	Light	0	0	0	0	4.28	0.409	0	0	0	0	0	0	1	95.8	0	0	7.2	0	37	10
o2_set3_0020_min_HO2_vs_NRC1f.sig	0	0	0.45	0	0	Light	0	0	0	0	4.28	0.405	0	0	0	0	0	0	1	98.7	0	0	7.18	0	37	20
o2_set3_0030_min_HO2_vs_NRC1f.sig	0	0	0.45	0	0	Light	0	0	0	0	4.28	0.403	0	0	0	0	0	0	1	100	0	0	7.15	0	37	30
o2_set3_0045_min_HO2_vs_NRC1f.sig	0	0	0.45	0	0	Light	0	0	0	0	4.28	0.407	0	0	0	0	0	0	1	100	0	0	7.13	0	37	45
o2_set3_0060_min_HO2_vs_NRC1f.sig	0	0	0.45	0	0	Light	0	0	0	0	4.28	0.403	0	0	0	0	0	0	1	100	0	0	7.15	0	37	60
o2_set3_0090_min_HO2_vs_NRC1f.sig	0	0	0.45	0	0	Light	0	0	0	0	4.28	0.402	0	0	0	0	0	0	1	100	0	0	7.17	0	37	90
o2_set3_0120_min_HO2_vs_NRC1f.sig	0	0	0.45	0	0	Light	0	0	0	0	4.28	0.408	0	0	0	0	0	0	1	100	0	0	7.18	0	37	120
o2_set3_0180_min_HO2_vs_NRC1f.sig	0	0	0.6	0	0	Light	0	0	0	0	4.28	0.421	0	0	0	0	0	0	1	100	0	0	7.18	0	37	180
o2_set3_0240_min_HO2_vs_NRC1f.sig	0	0	1.15	0	0	Light	0	0	0	0	4.28	0.404	0	0	0	0	0	0	1	100	0	0	7.19	0	37	240
o2_set3_0300_min_HO2_vs_NRC1f.sig	0	0	2	0	0	Light	0	0	0	0	4.28	0.402	0	0	0	0	0	0	1	100	0	0	7.18	0	37	300
o2_set3_0360_min_HO2_vs_NRC1f.sig	0	0	1.5	0	0	Light	0	0	0	0	4.28	0.391	0	0	0	0	0	0	1	100	0	0	7.18	0	37	360
o2_set3_0420_min_HO2_vs_NRC1f.sig	0	0	1.3	0	0	Light	0	0	0	0	4.28	0.4	0	0	0	0	0	0	1	100	0	0	7.19	0	37	420
o2_set3_0540_min_HO2_vs_NRC1f.sig	0	0	2	0	0	Light	0	0	0	0	4.28	0.435	0	0	0	0	0	0	1	100	0	0	7.2	0	37	540
o2_set3_0600_min_HO2_vs_NRC1f.sig	0	0	2.2	0	0	Light	0	0	0	0	4.28	0.43	0	0	0	0	0	0	1	100	0	0	7.18	0	37	600
o2_set3_0660_min_HO2_vs_NRC1f.sig	0	0	2.2	0	0	Light	0	0	0	0	4.28	0.433	0	0	0	0	0	0	1	100	0	0	7.19	0	37	660
control_30m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
gamma_30m_2500g	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
control_40m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
gamma_40m_2500g	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
control_60m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
gamma_60m_2500g	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
gamma3__0000gy-0000m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	0
gamma3__0000gy-0010m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	10
gamma3__0000gy-0020m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	20
gamma3__0000gy-0030m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	30
gamma3__0000gy-0040m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	40
gamma3__0000gy-0050m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	50
gamma3__0000gy-0060m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	60
gamma3__0000gy-0120m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	120
gamma3__0000gy-0240m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	240
gamma3__2500gy-0000m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	0
gamma3__2500gy-0010m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	10
gamma3__2500gy-0020m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	20
gamma3__2500gy-0030m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	30
gamma3__2500gy-0040m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	40
gamma3__2500gy-0050m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	50
gamma3__2500gy-0060m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	60
gamma3__2500gy-0120m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	120
gamma3__2500gy-0240m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	240
gamma2__0000gy-0000m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	0
gamma2__0000gy-0010m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	10
gamma2__0000gy-0020m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	20
gamma2__0000gy-0030m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	30
gamma2__0000gy-0040m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	40
gamma2__0000gy-0050m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	50
gamma2__0000gy-0060m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	60
gamma2__0000gy-0120m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	120
gamma2__0000gy-0240m	0	0	0	0	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	240
gamma2__2500gy-0000m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	0
gamma2__2500gy-0010m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	10
gamma2__2500gy-0020m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	20
gamma2__2500gy-0030m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	30
gamma2__2500gy-0040m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	40
gamma2__2500gy-0050m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	50
gamma2__2500gy-0060m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	60
gamma2__2500gy-0120m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	120
gamma2__2500gy-0240m	0	0	0	2500	0	Light	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	0	0	0	42	240
PQ_Const._set_1_0.25mM_-001m_vs_NRC-1f.sig	0	0	0	0	0	0	0	0	0	0	0	0.689	0	0	0	0	0	0	1	34.35	300	0	6.99	0	37	-1
PQ_Const._set_1_0.25mM_000m_vs_NRC-1f.sig	0	0	0	0	0	0	0	0	0	0	0	0.659	0	0	0	0	0	0	1	35.8	300	0.00025	6.99	0	37	0
PQ_Const._set_1_0.25mM_005m_vs_NRC-1f.sig	0	0	0	0	0	0	0	0	0	0	0	0.684	0	0	0	0	0	0	1	35.8	300	0.00025	6.99	0	37	5
PQ_Const._set_1_0.25mM_010m_vs_NRC-1f.sig	0	0	0	0	0	0	0	0	0	0	0	0.688	0	0	0	0	0	0	1	35.4	300	0.00025	6.99	0	37	10
PQ_Const._set_1_0.25mM_020m_vs_NRC-1f.sig	0	0	0	0	0	0	0	0	0	0	0	0.679	0	0	0	0	0	0	1	34	300	0.00025	6.99	0	37	20
PQ_Const._set_1_0.25mM_040m_vs_NRC-1f.sig	0	0	0	0	0	0	0	0	0	0	0	0.699	0	0	0	0	0	0	1	31.8	300	0.00025	6.99	0	37	40
PQ_Const._set_1_0.25mM_080m_vs_NRC-1f.sig	0	0	0	0	0	0	0	0	0	0	0	0.646	0	0	0	0	0	0	1	33.1	300	0.00025	6.98	0	37	80
PQ_Const._set_1_0.25mM_160m_vs_NRC-1f.sig	0	0	0	0	0	0	0	0	0	0	0	0.651	0	0	0	0	0	0	1	36.1	300	0.00025	6.97	0	37	160
PQ_Const._set_1_0.25mM_320m_vs_NRC-1f.sig	0	0	0	0	0	0	0	0	0	0	0	0.535	0	0	0	0	0	0	1	49.6	300	0.00025	7	0	37	320
20061006_Cmyc_tfbE_rep2_0.169_vs_NRC-1e	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	0.169	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	480
20061006_Cmyc_tfbE_rep2_0.439_vs_NRC-1e	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	0.439	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	870
20061006_Cmyc_tfbE_rep2_0.877_vs_NRC-1e	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	0.877	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	1410
20061006_Cmyc_tfbE_rep1_0.170_vs_NRC-1e	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	0.17	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	480
20061006_Cmyc_tfbE_rep1_0.416_vs_NRC-1e	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	0.416	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	870
20061006_Cmyc_tfbE_rep1_0.835_vs_NRC-1e	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	0.835	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	1410
20061006_Cmyc_tfbD_rep2_0.176_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.176	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	480
20061006_Cmyc_tfbD_rep2_0.416_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.416	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	960
20061006_Cmyc_tfbD_rep2_0.851_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.851	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	1470
20061006_Cmyc_tfbD_rep1_0.185_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.185	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	480
20061006_Cmyc_tfbD_rep1_0.417_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.417	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	960
20061006_Cmyc_tfbD_rep1_0.899_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.899	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	1470
20061006_Cmyc_rep2_0.179_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.179	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	540
20061006_Cmyc_rep2_0.399_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.399	0	0	0	0	0	none	1	0	220	0	0	0	37	870
20061006_Cmyc_rep2_0.833_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.833	0	0	0	0	0	none	1	0	220	0	0	0	37	1470
20061006_Cmyc_rep1_0.175_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.175	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	540
20061006_Cmyc_rep1_0.417_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.417	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	870
20061006_Cmyc_rep1_0.835_vs_NRC-1e.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.835	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	1470
20060818_KO_ura3_rep2_0.189_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1673G	0.5	0	0	0.189	0	0	0	0	0	0	1	0	220	0	0	0	37	330
20060818_KO_ura3_rep2_0.376_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1673G	0.5	0	0	0.376	0	0	0	0	0	0	1	0	220	0	0	0	37	690
20060818_KO_ura3_rep2_0.828_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1673G	0.5	0	0	0.828	0	0	0	0	0	0	1	0	220	0	0	0	37	1200
20060818_KO_ura3_rep1_0.178_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1673G	0.5	0	0	0.178	0	0	0	0	0	0	1	0	220	0	0	0	37	330
20060818_KO_ura3_rep1_0.405_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1673G	0.5	0	0	0.405	0	0	0	0	0	0	1	0	220	0	0	0	37	690
20060818_KO_ura3_rep1_0.842_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG1673G	0.5	0	0	0.842	0	0	0	0	0	0	1	0	220	0	0	0	37	1200
20060818_KO_tfbE_rep2_0.176_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6389G	0.5	0	0	0.176	0	0	0	0	0	0	1	0	220	0	0	0	37	330
20060818_KO_tfbE_rep2_0.410_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6389G	0.5	0	0	0.41	0	0	0	0	0	0	1	0	220	0	0	0	37	690
20060818_KO_tfbE_rep2_0.832_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6389G	0.5	0	0	0.832	0	0	0	0	0	0	1	0	220	0	0	0	37	1140
20060818_KO_tfbE_rep1_0.192_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6389G	0.5	0	0	0.192	0	0	0	0	0	0	1	0	220	0	0	0	37	330
20060818_KO_tfbE_rep1_0.432_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6389G	0.5	0	0	0.432	0	0	0	0	0	0	1	0	220	0	0	0	37	690
20060818_KO_tfbE_rep1_0.838_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6389G	0.5	0	0	0.838	0	0	0	0	0	0	1	0	220	0	0	0	37	1140
20060818_KO_tfbC_rep2_0.179_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6351G	0.5	0	0	0.179	0	0	0	0	0	0	1	0	220	0	0	0	37	330
20060818_KO_tfbC_rep2_0.435_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6351G	0.5	0	0	0.435	0	0	0	0	0	0	1	0	220	0	0	0	37	690
20060818_KO_tfbC_rep2_0.868_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6351G	0.5	0	0	0.868	0	0	0	0	0	0	1	0	220	0	0	0	37	1200
20060818_KO_tfbC_rep1_0.188_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6351G	0.5	0	0	0.188	0	0	0	0	0	0	1	0	220	0	0	0	37	330
20060818_KO_tfbC_rep1_0.412_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6351G	0.5	0	0	0.412	0	0	0	0	0	0	1	0	220	0	0	0	37	690
20060818_KO_tfbC_rep1_0.823_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG6351G	0.5	0	0	0.823	0	0	0	0	0	0	1	0	220	0	0	0	37	1200
20060818_KO_tfbA_rep2_0.208_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG2184G	0.5	0	0	0.208	0	0	0	0	0	0	1	0	220	0	0	0	37	330
20060818_KO_tfbA_rep2_0.425_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG2184G	0.5	0	0	0.425	0	0	0	0	0	0	1	0	220	0	0	0	37	690
20060818_KO_tfbA_rep2_0.839_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG2184G	0.5	0	0	0.839	0	0	0	0	0	0	1	0	220	0	0	0	37	1260
20060818_KO_tfbA_rep1_0.193_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG2184G	0.5	0	0	0.193	0	0	0	0	0	0	1	0	220	0	0	0	37	330
20060818_KO_tfbA_rep1_0.399_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG2184G	0.5	0	0	0.399	0	0	0	0	0	0	1	0	220	0	0	0	37	690
20060818_KO_tfbA_rep1_0.856_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG2184G	0.5	0	0	0.856	0	0	0	0	0	0	1	0	220	0	0	0	37	1260
20060818_KO_hpyA_rep2_0.177_vs_NRC-1e.sig	0	0	0	0	0	light	0	VNG0134G	0.5	0	0	0.177	0	0	0	0	0	0	1	0	220	0	0	0	37	330
